43,Temple Run 2,Imangi Studios,Action,8033637,500 M,4.32,Free,/application/temple_run_2/com.imangi.templerun2?hl=en
55,CM Launcher 3D - Theme & Wallpapers & Efficient,Cheetah Mobile Inc,Personalization,6532904,100 M,4.56,Free,/application/cm_launcher_3d_theme_wallpapers_efficient/com.ksmobile.launcher?hl=en
52,Sniper 3D Gun Shooter: Free Shooting Games - FPS,Fun Games For Free,Action,7376809,100 M,4.62,Free,/application/sniper_3d_gun_shooter_free_shooting_games_fps/com.fungames.sniper3d?hl=en
47,Farm Heroes Saga,King,Casual,7591817,100 M,4.41,Free,/application/farm_heroes_saga/com.king.farmheroessaga?hl=en
59,Dragon City,Social Point,Simulation,6267768,100 M,4.57,Free,/application/dragon_city/es.socialpoint.DragonCity?hl=en
74,Plants vs. Zombies 2,ELECTRONIC ARTS,Casual,5609672,100 M,4.44,Free,/application/plants_vs_zombies_2/com.ea.game.pvz2_row?hl=en
62,Geometry Dash Lite,RobTop Games,Arcade,6159457,100 M,4.50,Free,/application/geometry_dash_lite/com.robtopx.geometryjumplite?hl=en
79,WeChat,WeChat,Communication,5364385,100 M,4.22,Free,/application/wechat/com.tencent.mm?hl=en
70,AliExpress - Smarter Shopping & Better Living,Alibaba Mobile,Shopping,5778045,100 M,4.59,Free,/application/aliexpress_smarter_shopping_better_living/com.alibaba.aliexpresshd?hl=en
72,VK,VK.com,Social,5721027,100 M,3.81,Free,/application/vk/com.vkontakte.android?hl=en
76,Angry Birds Classic,Rovio Entertainment Corporation,Arcade,5543604,100 M,4.40,Free,/application/angry_birds_classic/com.rovio.angrybirds?hl=en
65,Retrica,Retrica, Inc.,Photography,6109731,100 M,4.32,Free,/application/retrica/com.venticake.retrica?hl=en
68,Flipkart Online Shopping App,Flipkart,Shopping,5805573,100 M,4.42,Free,/application/flipkart_online_shopping_app/com.flipkart.android?hl=en
69,4shared,New IT Solutions,Entertainment,5802055,100 M,4.38,Free,/application/4shared/com.forshared?hl=en
63,Duolingo: Learn Languages Free,Duolingo,Education,6157941,100 M,4.71,Free,/application/duolingo_learn_languages_free/com.duolingo?hl=en
75,Boom Beach,Supercell,Strategy,5571223,50 M,4.47,Free,/application/boom_beach/com.supercell.boombeach?hl=en
80,Traffic Racer,Soner Kara,Racing,5345213,100 M,4.46,Free,/application/traffic_racer/com.skgames.trafficracer?hl=en
64,Candy Crush Soda Saga,King,Casual,6146059,100 M,4.35,Free,/application/candy_crush_soda_saga/com.king.candycrushsodasaga?hl=en
78,Real Racing  3,ELECTRONIC ARTS,Racing,5473572,100 M,4.45,Free,/application/real_racing_3/com.ea.games.r3_row?hl=en
61,Traffic Rider,Soner Kara,Racing,6162168,100 M,4.68,Free,/application/traffic_rider/com.skgames.trafficrider?hl=en
73,Google Translate,Google LLC,Tools,5697947,500 M,4.41,Free,/application/google_translate/com.google.android.apps.translate?hl=en
67,Wish -  Shopping &amp; Free Gifts for New Users,Wish Inc.,Shopping,5984843,100 M,4.47,Free,/application/wish_shopping_free_gifts_for_new_users/com.contextlogic.wish?hl=en
71,APUS Launcher - Theme & Wallpaper & Hide Apps,APUS Group,Personalization,5760315,100 M,4.47,Free,/application/apus_launcher_theme_wallpaper_hide_apps/com.apusapps.launcher?hl=en
66,Hungry Shark Evolution,Ubisoft Entertainment,Arcade,6002087,100 M,4.50,Free,/application/hungry_shark_evolution/com.fgol.HungrySharkEvolution?hl=en
77,dfndr security: antivirus & anti-hacking &amp; cleaner,PSafe,Tools,5491507,100 M,4.54,Free,/application/dfndr_security_antivirus_anti_hacking_cleaner/com.psafe.msuite?hl=en
93,Camera360: Selfie Photo Editor with Funny Sticker,PinGuo Inc.,Photography,4854962,100 M,4.35,Free,/application/camera360_selfie_photo_editor_with_funny_sticker/vStudio.Android.Camera360?hl=en
81,Netflix,Netflix, Inc.,Entertainment,5343625,100 M,4.45,Free,/application/netflix/com.netflix.mediaclient?hl=en
89,Opera Mini - fast web browser,Opera,Communication,5056491,100 M,4.45,Free,/application/opera_mini_fast_web_browser/com.opera.mini.native?hl=en
97,Gangstar Vegas - mafia game,Gameloft,Action,4759805,50 M,4.45,Free,/application/gangstar_vegas_mafia_game/com.gameloft.android.ANMP.GloftGGHM?hl=en
86,slither.io,Lowtech Studios,Action,5130616,100 M,4.36,Free,/application/slither_io/air.com.hypah.io.slither?hl=en
82,Score! Hero,First Touch Games Ltd.,Sports,5320008,100 M,4.63,Free,/application/score_hero/com.firsttouchgames.story?hl=en
91,AppLock,DoMobile Lab,Tools,4875338,100 M,4.36,Free,/application/applock/com.domobile.applock?hl=en
88,Fruit Ninja®,Halfbrick Studios,Arcade,5080165,100 M,4.34,Free,/application/fruit_ninja/com.halfbrick.fruitninjafree?hl=en
100,Jetpack Joyride,Halfbrick Studios,Arcade,4607072,100 M,4.40,Free,/application/jetpack_joyride/com.halfbrick.jetpackjoyride?hl=en
99,imo free video calls and chat,imo.im,Communication,4736469,500 M,4.32,Free,/application/imo_free_video_calls_and_chat/com.imo.android.imoim?hl=en
95,Uber,Uber Technologies, Inc.,Maps &amp; Navigation,4814273,100 M,4.20,Free,/application/uber/com.ubercab?hl=en
84,B612 - Beauty &amp; Filter Camera,SNOW, Inc.,Photography,5180088,100 M,4.40,Free,/application/b612_beauty_filter_camera/com.linecorp.b612.android?hl=en
98,Google+,Google LLC,Social,4757223,1000 M,4.19,Free,/application/google_/com.google.android.apps.plus?hl=en
85,Avast Mobile Security 2018 - Antivirus &amp; AppLock,Avast Software,Tools,5142701,100 M,4.54,Free,/application/avast_mobile_security_2018_antivirus_applock/com.avast.android.mobilesecurity?hl=en
92,Zombie Tsunami,Mobigame S.A.R.L.,Arcade,4864022,100 M,4.45,Free,/application/zombie_tsunami/net.mobigame.zombietsunami?hl=en
83,ES File Explorer File Manager,ES Global,Productivity,5298517,100 M,4.57,Free,/application/es_file_explorer_file_manager/com.estrongs.android.pop?hl=en
96,Hotstar,Novi Digital,Entertainment,4807752,100 M,4.31,Free,/application/hotstar/in.startv.hotstar?hl=en
90,Dr. Driving,SUD Inc.,Racing,4919453,100 M,4.47,Free,/application/dr_driving/com.ansangha.drdriving?hl=en
94,The Sims FreePlay,ELECTRONIC ARTS,Simulation,4834791,100 M,4.24,Free,/application/the_sims_freeplay/com.ea.games.simsfreeplay_row?hl=en
87,musical.ly,musical.ly,Social,5121096,100 M,4.36,Free,/application/musical_ly/com.zhiliaoapp.musically?hl=en
110,Crossy Road,HIPSTER WHALE,Action,4212647,100 M,4.53,Free,/application/crossy_road/com.yodo1.crossyroad?hl=en
117,Plants vs. Zombies FREE,ELECTRONIC ARTS,Strategy,4000194,100 M,4.44,Free,/application/plants_vs_zombies_free/com.ea.game.pvzfree_row?hl=en
107,Pixel Gun 3D (Pocket Edition),Pixel Gun 3D,Action,4403685,50 M,4.51,Free,/application/pixel_gun_3d_pocket_edition_/com.pixel.gun3d?hl=en
115,Smash Hit,Mediocre,Arcade,4113964,100 M,4.47,Free,/application/smash_hit/com.mediocre.smashhit?hl=en
120,DEER HUNTER CLASSIC,Glu,Action,3937194,50 M,4.42,Free,/application/deer_hunter_classic/com.glu.deerhunt2?hl=en
113,SimCity BuildIt,ELECTRONIC ARTS,Simulation,4158538,50 M,4.45,Free,/application/simcity_buildit/com.ea.game.simcitymobile_row?hl=en
109,Tiny Flashlight + LED,Nikolay Ananiev,Tools,4253105,100 M,4.45,Free,/application/tiny_flashlight_led/com.devuni.flashlight?hl=en
104,Period Tracker - Period Calendar Ovulation Tracker,Simple Design Ltd.,Health and fitness,4520764,100 M,4.77,Free,/application/period_tracker_period_calendar_ovulation_tracker/com.popularapp.periodcalendar?hl=en
118,Temple Run,Imangi Studios,Arcade,3974898,100 M,4.35,Free,/application/temple_run/com.imangi.templerun?hl=en
102,Castle Clash: Heroes of the Empire US,IGG.COM,Strategy,4554580,50 M,4.56,Free,/application/castle_clash_heroes_of_the_empire_us/com.igg.castleclash?hl=en
114,Yahoo Mail – Stay Organized,Yahoo,Communication,4156555,100 M,4.32,Free,/application/yahoo_mail_stay_organized/com.yahoo.mobile.client.android.mail?hl=en
119,VideoShow-Video Editor & Video Maker & Beauty Camera,EnjoyMobi Video Editor &amp; Video Maker Studio,Video Players,3941397,100 M,4.56,Free,/application/videoshow_video_editor_video_maker_beauty_camera/com.xvideostudio.videoeditor?hl=en
103,Gmail,Google LLC,Communication,4553420,1000 M,4.33,Free,/application/gmail/com.google.android.gm?hl=en
106,Garena Free Fire,GARENA INTERNATIONAL I PRIVATE LIMITED,Action,4404474,50 M,4.47,Free,/application/garena_free_fire/com.dts.freefireth?hl=en
112,ROBLOX,ROBLOX Corporation,Adventure,4173830,100 M,4.50,Free,/application/roblox/com.roblox.client?hl=en
105,JOOX Music - Free Streaming,Tencent Mobility Limited,Music and Audio,4466799,50 M,4.56,Free,/application/joox_music_free_streaming/com.tencent.ibg.joox?hl=en
111,Pinterest,Pinterest,Social,4210271,100 M,4.62,Free,/application/pinterest/com.pinterest?hl=en
